document_id,chunk_id,title,category,topic,content,source
DOC001,CH001,First Steps,Basics,FastAPI application instance,A FastAPI application starts by importing FastAPI and creating an application instance. The instance becomes the main object used to define API routes and other application behavior.,https://fastapi.tiangolo.com/tutorial/first-steps/
DOC001,CH002,First Steps,Basics,Path operation,A path operation connects an HTTP method and URL path to a Python function. FastAPI uses decorators such as @app.get to declare the operation and calls the associated function when a matching request arrives.,https://fastapi.tiangolo.com/tutorial/first-steps/
DOC001,CH003,First Steps,Basics,Automatic API documentation,FastAPI generates interactive API documentation from the application definitions. The documentation is available through the built-in documentation interfaces and is based on the API schema generated by FastAPI.,https://fastapi.tiangolo.com/tutorial/first-steps/
DOC002,CH004,Path Parameters,Parameters,Declaring path parameters,"Path parameters are variables embedded in a URL path, such as /items/{item_id}. A function parameter with the same name receives the value captured from that part of the URL.",https://fastapi.tiangolo.com/tutorial/path-params/
DOC002,CH005,Path Parameters,Parameters,Path parameter types,"Python type annotations can be used for path parameters. For example, declaring an item identifier as an integer allows FastAPI to parse the incoming value as an integer and validate it against that type.",https://fastapi.tiangolo.com/tutorial/path-params/
DOC002,CH006,Path Parameters,Parameters,Validation and documentation,"Typed path parameters provide parsing, validation, editor support, and information for the automatically generated API documentation. FastAPI detects the parameter from its matching name in the path.",https://fastapi.tiangolo.com/tutorial/path-params/
DOC003,CH007,Query Parameters,Parameters,What query parameters are,Function parameters that are not part of the URL path are interpreted as query parameters. Query parameters appear after the question mark in a URL as key-value pairs separated by ampersands.,https://fastapi.tiangolo.com/tutorial/query-params/
DOC003,CH008,Query Parameters,Parameters,Defaults and optional query parameters,"Query parameters can have default values because they are not fixed parts of the path. A parameter with a default such as 0 is optional, and a parameter with a default of None can also explicitly represent an optional value.",https://fastapi.tiangolo.com/tutorial/query-params/
DOC003,CH009,Query Parameters,Parameters,Type conversion and required parameters,"FastAPI converts query parameter values according to their Python type annotations and validates them. A query parameter without a default value is required, while a parameter with a default is not required.",https://fastapi.tiangolo.com/tutorial/query-params/
DOC004,CH010,Request Body,Request Handling,Pydantic request models,A request body can be declared with a Pydantic model. The model describes the fields expected in the incoming data and lets FastAPI validate and document the request body.,https://fastapi.tiangolo.com/tutorial/body/
DOC004,CH011,Request Body,Request Handling,Request body versus path and query data,A FastAPI path operation can receive body data together with path and query parameters. FastAPI determines where each value should come from based on the parameter declaration and its location in the route.,https://fastapi.tiangolo.com/tutorial/body/
DOC004,CH012,Request Body,Request Handling,Body validation and schema,Pydantic models provide a structured schema for JSON request bodies. FastAPI uses the model information for validation and for the automatically generated API documentation.,https://fastapi.tiangolo.com/tutorial/body/
DOC005,CH013,Response Model,Responses,Return type and response validation,"FastAPI can use a function return type annotation to describe the response. It can validate returned data, generate the response schema in OpenAPI, serialize the result, and document the expected response shape.",https://fastapi.tiangolo.com/tutorial/response-model/
DOC005,CH014,Response Model,Responses,response_model parameter,The response_model parameter on a path operation can define the expected response model independently of the function's Python return annotation. It is useful when the function returns a type that differs from the documented response type.,https://fastapi.tiangolo.com/tutorial/response-model/
DOC005,CH015,Response Model,Responses,Filtering response data,A response model can limit the output to declared fields. This validation and filtering can prevent fields that should not be exposed from appearing in the API response.,https://fastapi.tiangolo.com/tutorial/response-model/
DOC006,CH016,Response Status Code,Responses,Declaring status codes,"A path operation can declare its HTTP response status code with the status_code argument on decorators such as get, post, put, and delete.",https://fastapi.tiangolo.com/tutorial/response-status-code/
DOC006,CH017,Response Status Code,Responses,Common HTTP status categories,"HTTP status codes are grouped by their first digit. 2xx codes represent successful responses, 3xx redirects, 4xx client errors, and 5xx server errors. A 201 response commonly indicates that a resource was created.",https://fastapi.tiangolo.com/tutorial/response-status-code/
DOC006,CH018,Response Status Code,Responses,Status code documentation,The declared status code affects both the actual HTTP response and the generated OpenAPI documentation. FastAPI also provides convenience constants through fastapi.status.,https://fastapi.tiangolo.com/tutorial/response-status-code/
DOC007,CH019,Dependencies,Dependencies,Dependency injection concept,"FastAPI dependency injection lets a path operation declare functionality it needs while FastAPI resolves and supplies that dependency for each request. It is useful for shared logic, database access, and security-related requirements.",https://fastapi.tiangolo.com/tutorial/dependencies/
DOC007,CH020,Dependencies,Dependencies,Using Depends,"A dependency can be passed to Depends as a function. FastAPI calls the dependency, resolves its own parameters, and provides the returned result to the path operation parameter.",https://fastapi.tiangolo.com/tutorial/dependencies/
DOC007,CH021,Dependencies,Dependencies,Reusable dependency logic,Dependencies allow shared request logic to be written once and reused across multiple path operations. Dependency requirements and validations are also integrated into the generated OpenAPI schema.,https://fastapi.tiangolo.com/tutorial/dependencies/
DOC008,CH022,Header Parameters,Parameters,Declaring header parameters,"HTTP headers can be declared with FastAPI's Header helper, following a pattern similar to Query, Path, and Cookie parameters. Without Header, a parameter would otherwise be interpreted as a query parameter.",https://fastapi.tiangolo.com/tutorial/header-params/
DOC008,CH023,Header Parameters,Parameters,Underscore to hyphen conversion,Header converts underscores in Python parameter names to hyphens when reading and documenting HTTP header names. This lets Python code use names such as user_agent while matching the HTTP header user-agent.,https://fastapi.tiangolo.com/tutorial/header-params/
DOC008,CH024,Header Parameters,Parameters,Multiple header values,Header parameters can represent multiple values by declaring a list type. FastAPI can collect repeated headers with the same name into a Python list.,https://fastapi.tiangolo.com/tutorial/header-params/
DOC009,CH025,Cookie Parameters,Parameters,Declaring cookie parameters,"Cookie values can be read with the Cookie helper. The declaration pattern is similar to query and path parameters, including support for defaults and optional values.",https://fastapi.tiangolo.com/tutorial/cookie-params/
DOC009,CH026,Cookie Parameters,Parameters,Why Cookie is required,"A parameter must use Cookie to be interpreted as an HTTP cookie. Without Cookie, FastAPI treats the parameter as another parameter location such as a query parameter.",https://fastapi.tiangolo.com/tutorial/cookie-params/
DOC009,CH027,Cookie Parameters,Parameters,Cookies and interactive docs,"Cookie parameters appear in the generated API documentation, but browser-based interactive documentation does not automatically send arbitrary cookie values in the same way it handles ordinary form inputs.",https://fastapi.tiangolo.com/tutorial/cookie-params/
DOC010,CH028,Security - First Steps,Security,OAuth2 security setup,FastAPI provides security utilities that can be used to build authentication flows. The first OAuth2 example uses OAuth2PasswordBearer and connects a security dependency to a path operation.,https://fastapi.tiangolo.com/tutorial/security/first-steps/
DOC010,CH029,Security - First Steps,Security,Bearer token extraction,"OAuth2PasswordBearer reads the Authorization header and expects a Bearer token. If the request does not provide an appropriate bearer token, FastAPI can return a 401 unauthorized response before the path operation runs.",https://fastapi.tiangolo.com/tutorial/security/first-steps/
